"School Name","Session Date",Question
"Marlborough Primary",27/09/2020,"Now that we're back at school. How safe do you feel in school?"
"Little Ealing Primary School",27/09/2020,"Now that you are back at school, how safe do you feel?"
"Little Ealing Primary School",27/09/2020,"Now that you are back at school, how safe do you feel?"
"Manchester Enterprise Academy",27/09/2020,"What charity would you like your Year group to raise awareness and funds for?"
"St James' CE Primary Haydock",26/09/2020,"What's the best thing about being back at school? ?"
"St Gregory's Catholic Primary School",26/09/2020,"If you could have anyone in the world in your bubble, who would it be and why?"
"Copeland Road Primary School",25/09/2020,"If you could have one of these people in your class bubble, who would you choose?"
"Valence Primary School",25/09/2020,"If you could have anyone in the world in your bubble, who would it be and why?"
"Finham Primary School",25/09/2020,"How do you feel about being back at school? ?"
"Crownfield Junior School",25/09/2020,"Now you're back in school, how safe do you feel?"
"Stormont House School",25/09/2020,"Which behaviour is most important when communicating on digital devices?"
"New bridge Group",25/09/2020,"What Charities would you like to support as a college this year?"
"SHSG Student Voice",25/09/2020,"What most concerns you about there being 'high expectations' of you?"
"Lansdown Park Academy - Rush Hill",25/09/2020,"Should students be allowed to smoke in Alternative Provision schools like ours? ?"
"Freehold Community Primary Academy",25/09/2020,"If you could have any of these people in your bubble, who would you choose? ?"
"Hinckley Parks Primary",24/09/2020,"Which food group do you eat most regularly and why? ?"
"Shrewsbury Academy",24/09/2020,"How safe do you feel in school?"
"Bronte Girls' Acadmey",24/09/2020,"What would make using Teams and Onenote easier to understand?"
"Carshalton Boys Sports College",24/09/2020,"What would you like to ask Elliot Colburn?"
d'Overbroeck's,23/09/2020,"How confident do you feel submitting homework electronically?"
"The Hart School",23/09/2020,"After viewing the information and pictures for the new Rugeley Youth Centre 'The Den', would you be interested in joining as a member?"
"William Hulme's Grammar School (sec)",23/09/2020,"Have you ever experienced racism and how could the school help you deal with this?"
"Norwich Primary Academy",23/09/2020,"This term we are looking at kindness and respect. This week we would like to know... How safe do you feel in school?"
"Danecourt school",22/09/2020,"What does Macmillan Cancer charity do? ?"
"Isleworth Town",22/09/2020,"Now you're back in school, how safe do you feel?"
"Blackheath School",22/09/2020,"Playtime activities need to be redesigned due to the current situation. What do you think should happen?"
"Haveley Hey",22/09/2020,"How happy are you with the changes in school this year?"
"Lime Academy Larkswood",22/09/2020,"How does Larkswood promote healthy eating?"
"St James' CE Primary Haydock",21/09/2020,"Now you are back at school, how safe do you feel?"
"Penwortham Girls' High School",21/09/2020,"Which language do you think would be most useful to you in the future?"
"Knowles Primary School",21/09/2020,"Now you're back in school, how safe do you feel?"
"Bedonwell Junior School",21/09/2020,"What equipment would you like to see introduced in the playground whilst still socially distancing?"
"Your School Name",21/09/2020,"Now you're back in school, how safe do you feel?"
"Blackheath Prep",21/09/2020,"Would you like a school webpage to record and inform teachers privately about poor behaviour, unkindness and bullying in the school?"
Armfield.Academy,20/09/2020,"What is the best thing about being back at school?"
"Manford Primary School",20/09/2020,"Now you are settled back into school, how safe do you feel?"
Hanover,20/09/2020,"Now you are back in school, how safe do you feel?"
"The Park School",20/09/2020,"Now you are back in school, how safe do you feel?"
"Harrow Gate Primary Academy",20/09/2020,"Now you're back in school, how safe do you feel?"
"Manchester Enterprise Academy",19/09/2020,"‘Should the country set a curfew for everyone?’?"
"Morven Park Primary School",18/09/2020,"What’s the best thing about being back at school? ?"
"Valence Primary School",18/09/2020,"QUESTION: IS BEING FAMOUS A GOOD THING? ?"
"Copeland Road Primary School",18/09/2020,"Now you're back at school, how safe do you feel?"
"Edward Peake Middle School",17/09/2020,"What charities would you like the school to raise money for this year? ?"
"Sankey Valley St James CE Primary School",17/09/2020,"If you could have anyone in the world in your bubble, who would it be and why?"
"Shrewsbury Academy",17/09/2020,"What was the best thing about learning at home?"
"Bronte Girls' Acadmey",16/09/2020,"What's the best think about been back at school?"
"Danecourt school",16/09/2020,"How can we make new children at Danecourt feel welcome?"
"Harold Wood",16/09/2020,"What's the best thing about being back at school?"
"Hardwick Green Primary Academy",16/09/2020,"What can we do to make our school environment more environmentally friendly?"
"New bridge Group",16/09/2020,"What is the best thing about being back in College?"
"John F Kennedy International School",16/09/2020,"We are in the process of setting up a new Smart School Council. What is most important to you?"
"Burnage Academy for Boys",15/09/2020,"What is the best thing about being back in school?"
"Hollymount Primary School",15/09/2020,"What is the best thing about being back at school?"
"Heath Mount School",15/09/2020,"We are allowed to sell whatever we want to in the world?"
"Sheringham Primary School",15/09/2020,"What is the best thing about being back at school?"
"Manchester Enterprise Academy",14/09/2020,"Should all pupils in the UK wear masks to school?"
"Pooles Park",14/09/2020,"What resources are needed for wet play?"
"Lime Academy Larkswood",14/09/2020,"What is the best thing about being back at school?"
"Penwortham Girls' High School",14/09/2020,"Which of the core values are most important to you ?"
d'Overbroeck's,14/09/2020,"Now you've done your first week back, how are you feeling about all the new Covid protocols? (e.g. one way systems, masks etc)?"
Hanover,14/09/2020,"What's the best thing about being back in school?"
"Crownfield Junior School",14/09/2020,"What's the best thing about being back at school?"
"Sutton Valence Preparatory School",14/09/2020,"What's the best thing about being back at school? ?"
"Belmont Junior School",14/09/2020,"How did you feel about returning to school?"
"Little Ealing Primary School",13/09/2020,"What is the best thing about being back at school?"
"Blackheath Prep",13/09/2020,"Should the school change the House names to reflect society, diversity and inclusivity?"
"Marlborough Primary",13/09/2020,"What's the best thing about being back at school?"
"Copeland Road Primary School",13/09/2020,"What's the best thing about being back at school?"
"Hanley Castle High School",13/09/2020,"What have you enjoyed most about being back in school?"
"Manchester Enterprise Academy",12/09/2020,"What is your favorite chocolate?"
"Valence Primary School",11/09/2020," HOW SAFE DO YOU FEEL IN SCHOOL? ?"
"Wroughton Federation",11/09/2020,"Which outside area of school would you like updated?"
"Sutton Valence Preparatory School",09/09/2020,"Should all pupils in the UK wear masks to school?"
"Danecourt school",09/09/2020,"What would make a good school council representative?"
"Coronavirus Daily Debate",09/09/2020,"Should all UK pupils wear masks to school?"
"Hardwick Green Primary Academy",09/09/2020,"What do people like and dislike about eating in the hall?"
"Shrewsbury Academy",09/09/2020,"Which theme do you think should be used for the Shrewsbury Academy Houses’ ?"
"Bronte Girls' Acadmey",08/09/2020,"How confident do you feel about SSC discussion and debate?"
"Bronte Girls' Acadmey",08/09/2020,"Should all pupils in the UK wear masks to school?"
"Lime Academy Larkswood",08/09/2020,"Do you feel safe being back in school?"
Hanover,08/09/2020,"Should all pupils in the UK wear masks to school?"
"Valence Primary School",04/09/2020,"Should all pupils in the UK wear face masks to school?"
"The Park School",04/09/2020,"Should all pupils in the UK wear masks to school?"
"St Gabriel's Catholic Primary Academy",04/09/2020,"Should all pupils in the UK wear masks to school?"
"Hinckley Parks Primary",03/09/2020,"Do you think all children should have to wear a mask in school?"
"George White Junior School",03/09/2020,"Should all pupils in the UK wear masks to school?"
"St. Peter's School",03/09/2020,"Should all the pupils in the UK wear masks to school?"
"Isleworth Town",03/09/2020,"Should all pupils in the UK wear masks to school?"
"Blackheath Prep",02/09/2020,"Playtime activities need to be redesigned due to the current situation. What do you think should happen?"
"Ascot Road Community Free School",01/09/2020,"Do u think u wanna be council again?"
"SHSG Student Voice",26/08/2020,"Several forms said they wanted to feel less pressure. Which part of school makes you feel pressure?"
"Red Oaks Primary School",15/07/2020,"Who is your lockdown hero and why? ?"
"Norwich Primary Academy",14/07/2020,"What is your lockdown tip for staying happy and healthy?"
"Cockburn School",10/07/2020,"What has been the best thing about starting school again?"
"Oakway Primary Academy",08/07/2020,"I feel safe?"
"Oakway Primary Academy",08/07/2020,"I feel safe?"
"Oakway Primary Academy",08/07/2020,"I Feel Safe?"
"Norwich Primary Academy",06/07/2020,"Who is your Lockdown hero and why?"
"Red Oaks Primary School",01/07/2020,"Which word would you use to describe 2020 so far?"
"Killisick Junior School",30/06/2020,"What are you looking forward to the most when things go back to normal?"
"Norwich Primary Academy",26/06/2020,"What are you most looking forward to doing when lockdown changes and why? ?"
"Littlegreen School",25/06/2020,"If you were Prime Minister, what would you do to celebrate when the lockdown ends?"
"Killisick Junior School",22/06/2020,"Can you think of a game/challenge to go on the ground on our playground? Please try and think of a game that would fit under the below categories, write your idea for each option down then vote for your favourite category?"
"Norwich Primary Academy",19/06/2020,"How would you like the UK to be different after the pandemic?"
"Norwich Primary Academy",17/06/2020,"What word would you use to describe  2020 and why?"
"Heath Mount School",16/06/2020,"What has been the best part of the home learning experience?"
"Red Oaks Primary School",16/06/2020,"If Coronavirus was a character from a book or television, who would it be and why?"
"Isleworth Town",11/06/2020,"If coronavirus was a character from a film or a book, who would it be and why?"
"Woodheys Primary School",11/06/2020,"If Coronavirus was a villain from a book or film who would it be ?"
"Norwich Primary Academy",08/06/2020,"If coronavirus was a character from a film or a book, who would it be and why?  ?"
"The Elton High School",08/06/2020,"This year we are setting up a Smart Student Council. From the options below, which option is the most important?"
"St Gabriel's Catholic Primary Academy",04/06/2020,"From next year we will be running our Smart School Council. Considering this, what is most important to you?"
"St. Peter's School",01/06/2020,"From next year, we are setting up our Smart School Council. What is most important to you? ?"
"The Gleddings Preparatory School",21/05/2020,"What makes learning great at our school?"
"Coronavirus Daily Debate",15/05/2020,"Should taxes rise, at some point, to help pay the UK's Coronavirus bill?"
"Coronavirus Daily Debate",13/05/2020,"Should England, Scotland, Wales and N. Ireland have different approaches to tackling Coronavirus?"
"Shibden Head Primary Academy",13/05/2020,"If school reopens would you send your child to school? ?"
"Coronavirus Daily Debates",13/05/2020,"On Sunday the Prime Minister announced a small lift of lock down restrictions for England. Should this have been announced in Parliament?"
"Coronavirus Daily Debate",11/05/2020,"As most pupils will no longer be able to sit exams this year, they're going to be awarded results by their class teachers. Do you think this is fair?"
"Coronavirus Daily Debates",06/05/2020,"Many people, like sportspeople and restaurant workers, are taking a pay cut as their jobs have changed during Coronavirus. Should politicians take a pay cut too?"
"Coronavirus Daily Debates",01/05/2020,"90% of children globally are currently learning from home, lots of them using digital tools. When Coronavirus has passed, and schools reopen, do you think more learning should be done digitally?"
"Coronavirus Daily Debates",01/05/2020,"McDonalds is planning to reopen some stores for takeaways next week. When all fast-food resturants are open as normal again, which will be the first on you visit?"
"Coronavirus Daily Debates",01/05/2020,"The BBC is reporting that coutnries with women leaders (Prime Ministers) have been best at fighting Coronavirus. Do you think this is because of their gender?"
"Lloyd Williamson School",01/05/2020,"What kind of challenge coudl we do?"
Test,30/04/2020,"What is the question? ?"
"Coronavirus Daily Debates",30/04/2020,"What is the day? ?"
"Coronavirus Daily Debates",24/04/2020,"The US President has been criticised for giving medical advice that is not supported by doctors, such as saying that scientists should explore injecting sick people with disinfectant. Is it okay for politicians to give medical advice like this?"
"Coronavirus Daily Debates",24/04/2020,"Is it helpful for celebrities to do things like having online concerts and livestreams with their followers?"
"Coronavirus Daily Debates",24/04/2020,"Many countries are now considering when to start lifting stay-at-home rules. Which do you think is the most important?"
"Coronavirus Daily Debates",24/04/2020,"SAGE, the group of scientists helping the government with Coronavirus, has kept the names of its members and the advice they’re giving secret. Should this information be given publicly?"
"Coronavirus Daily Debates",24/04/2020,"Countries around the world have rules saying that people need to wear masks or face coverings in public places to slow the spread of the virus. Should the UK do the same?"
"Lloyd Williamson School",24/04/2020,"What can we do to get more social interaction?"
"Coronavirus Daily Debates",16/04/2020,"Last week, a state in America held elections even though many said it was a bad idea to have crowds going to vote. Should the virus cause elections to be postponed?"
"Coronavirus Daily Debates",16/04/2020,"Is it fair to ban outdoor exercise if people don’t follow social distancing rules? ?"
"Coronavirus Daily Debates",16/04/2020,"Do you think the news media is doing a good job of covering Coronavirus?"
"Coronavirus Daily Debates",16/04/2020,"How can people show support for their community right now?"
"Coronavirus Class Discussions",16/04/2020,"As Coronavirus is a global pandemic, does it make sense for individual countries to tackle it in different and unique ways?"
"Coronavirus Daily Debates",10/04/2020,"Do worldwide emergencies like this bring the world closer or push people apart?"
"Coronavirus Daily Debates",10/04/2020,"What is the best activity to do during this time at home?"
"Coronavirus Daily Debates",10/04/2020,"Countries around the world have been thinking of using technology to make sure people aren't leaving the house when they aren't supposed to. Is this okay?"
"Cedars Academy",09/04/2020,"The Prime Minister is the leader of our country, does that mean they get to do whatever they want?"
"Windmill L.E.A.D. Academy",09/04/2020,"What makes learning great at our school?"
"Coronavirus Daily Debates",07/04/2020,"The UK Prime Minister Boris Johnson is currently in hospital suffering with Coronavirus. Should he be treated like any other patient?"
"Coronavirus Daily Debates",02/04/2020,"Now that you’ve been learning at home for a few weeks, do you think you learn better at school or at home?"
"Coronavirus Daily Debates",02/04/2020,"In Hungary a new law has passed that has suspended their parliament, banned future elections, and given the Prime Minister the power to pass any law he likes. Are these powers necessary?"
"Coronavirus Daily Debates",02/04/2020,"What are you most excited to do when Coronavirus and the quarantine are over?"
"Coronavirus Daily Debates",01/04/2020,"In Nevada, USA boxes have been painted in car parks for homeless people to sleep in whilst practising social distancing. Do you think this is an example of care or neglect?"
"Coronavirus Daily Debates",30/03/2020,"It's April Fools Day. Should we be joking and playing practical jokes at a time like this?"
"Coronavirus Daily Debates",26/03/2020,"The US President has been criticized for tweeting in the middle of the Coronavirus outbreak. Should politicians be using social media right now?"
"Coronavirus Daily Debates",26/03/2020,"Epidemiology is counting how many people become ill and studying why some people become ill and some don't. Why do you think that's important?"
"Coronavirus Daily Debates",26/03/2020,"If Coronavirus were a character in a film, which would it be?"
"Coronavirus Daily Debates",26/03/2020,"What good do you think can come of Coronavirus?"
"Coronavirus Daily Debates",26/03/2020,"As stores sell out of products like toilet paper and hand sanitizer, some people have been buying in bulk and selling these products for more money. Is it okay for people to do this?"
"Coronavirus Daily Debate",26/03/2020,"Because of Coronavirus, the whole world is working towards the same goal, but social distancing can make people feel lonely. Do you feel more or less connected to your community right now?"
"Coronavirus Daily Debates",26/03/2020,"The Government has said we need to stay 2 meters away from people when we go shopping. How many toilet rolls, laid side by side, make up 2 meters?"
"Coronavirus Daily Debates",24/03/2020,"The US President has called Coronavirus 'Chinese Flu or 'Kung-Flu'. Is this racist?"
"Coronavirus Daily Debate",23/03/2020,"This weekend, many people ignored the government's social distancing advice. Germany has decided to fine people up to €25,000 for not following their social distancing policy. Is this fair?"
"Coronavirus Daily Debates",22/03/2020,"For thousands of pupils across the UK, today is the first day of learning at home. What is the best way to spend it?"
"Hardwick Green Primary Academy",20/03/2020,"What do children like and dislike about eating in the hall?"
"Coronavirus Daily Debates",19/03/2020,"Most schools will shut next week. Where is it easier to learn?"
"Coronavirus Daily Debates",19/03/2020,"The Daily Telegraph found that celebrities have been buying Coronavirus testing kits from a London clinic for £375. Which sentence do you agree with?"
"Hinckley Parks Primary",18/03/2020,"Do you think all schools should close due to the corona virus?"
"Coronavirus Daily Debates",17/03/2020,"The World Health Organisation says we face two problems: Coronavirus and an 'infodemic' of fake news. What's the best way to protect ourselves from fake Coronavirus news?"
,17/03/2020,"The World Health Organisation says we face two problems: Coronavirus and an 'infodemic' of fake news. What's the best way to protect ourselves from fake Coronavirus news?"
,17/03/2020,"The World Health Organisation says we face two problems: Coronavirus and an 'infodemic' of fake news. What's the best way to protect ourselves from fake news?"
"Alderman Bolton Primary School",16/03/2020,"How can we improve hygiene in school? ?"
"Benjamin Britten School",16/03/2020,"The UK government has announced that, if necessary, they can close schools (among other measures such as banning large events and restricting public transport) to prevent the spread of coronavirus. Are you for or agianst this idea.?"
"Rivenhall C of E Primary School",16/03/2020,"How would you like a lunchtime quiz club to run?"
"Harrow Gate Primary Academy",16/03/2020,"Why is it important to arrive on time to school every day?"
"Marlborough Primary",16/03/2020,"IF we were to have areas for different activities at lunchtime what areas would you like to experience?"
"Shibden Head Primary Academy",16/03/2020,"Schools across Europe are closing because of Coronavirus. Do you think your school should close? ?"
"Danecourt school",16/03/2020,"What is Saint Patricks day?"
"Edmonton County Primary School",16/03/2020,"What should the 100% attendance award be?"
"Manor Junior School",15/03/2020,"Spending quality time with your family is so important. Which of these ways would help a family to bond and connect the most?"
"Manford Primary School",15/03/2020,"Schools across Europe are closing because of coronavirus. Do you think your school should close?"
"Barnsole Primary School",15/03/2020,"Which activity would you most like to see introduced at lunch time?"
"Minehead First School",14/03/2020,"The roads around school are very busy, what could we do to ensure we are all safe?"
"Manchester Enterprise Academy",14/03/2020,"Schools across Europe are closing because of coronavirus. Do you think your school should close?"
"Valence Primary School",13/03/2020,"Schools across Europe are closing because of coronavirus. Do you think your school should close?"
"Warren Mead Junior School",13/03/2020,"How can we promote an enjoyment of times tables across Warren Mead? ?"
"Holy Family Catholic Primary School",13/03/2020,"What should the prize be for the most tokens this half term?"
"St. Francis School",13/03/2020,"Would you like to have a mixed Haybrook and Travencore break time once a week?"
"Witton Middle School",13/03/2020,"How anti-bullying week be used to promote friendship and prevent bullying?"
"Thomas Tallis School",13/03/2020,"How well do you think Tallis supports student wellbeing?"
"Hereford Academy",12/03/2020,"How can we improve litter in and around the Academy?"
Armfield.Academy,12/03/2020,"Should celebrities who have been convicted of a crime lose their jobs?"
"Holgate Meadows",12/03/2020,"Outside stuff?"
"Shrewsbury Academy",12/03/2020,"What do you think is the function of the house system at the moment?"
"Bronte Girls' Acadmey",12/03/2020,"Do you think it is fair that you will not be allowed to go on the end of year trip if you do not have 98% attendance? ?"
"Oak Hill First School",11/03/2020,"Why do you think children choose to do the right things at school?"
"The Mill Primary Academy",11/03/2020,"As you know, we are doing a series of questions on ‘religion.’ Question: Which religion do you know most about? Discuss in your groups, what you know about that religion?"
"Colfe's Junior School",11/03/2020,"How often should we run class meetings?"
"Oxclose Community Academy",11/03/2020,"The Smart School Council are considering opening up a Rewards Shop to spend your Class Chart Positive Points. What rewards would you like to see in the shop?"
"Richard Alibon Primary School",10/03/2020,"International Woman's Day was the 8th March. Do you think being born a boy or a girl will affect the kind of job you have when you grow up?"
"Killisick Junior School",10/03/2020,"What could we do to be more environmentally friendly around school?"
"George White Junior School",10/03/2020,"Do you like coming to school? Please think about how you feel most of the time. Please give individual responses. ?"
"Harrow Gate Primary Academy",09/03/2020,"Do you think being born a boy or girl will affect the kind of job you have when you grow up?"
"Tor View School",09/03/2020,"With lots of people worried about Coronavirus, do you know how long you should be washing your hands for?"
"Home Farm Primary School",09/03/2020,"With lots of people worried about Coronavirus, do you know how long you should be washing your hands for?"
"Brambleside Primary School",09/03/2020,"Can choir have a separate line for hot dinners?"
"Meridian Angel Primary",09/03/2020,"How long should you wash your hands for?"
"Blackheath Prep",09/03/2020,"International Women's day was on 8th March. Do you think being born a boy or girl will affect the kind of job you have when you grow up? ?"
"Shibden Head Primary Academy",09/03/2020,"It was International Women's Day on 8th March. Do you think being born a girl or boy will affect the kind of job you have when you grow up? ?"
"Danecourt school",09/03/2020,"What is sport relief?"
"King's Lynn Academy",09/03/2020,"International Women's day was 8 March. Do you think being born a boy or girl will affect the kind of job you have when you grow up?"
"Manor Junior School",09/03/2020,"International Women's day was 8th March. Do you think being born a boy or girl will affect the kind of job you have when you grow up?"
"Little Ealing Primary School",08/03/2020,"If you could use more technology in the classroom, would you prefer to use an iPad or a laptop?"
"Manchester Enterprise Academy",08/03/2020,"Is there more that we could do for women to have equality? ?"
"Netherton Junior and Infant School",08/03/2020,"International Women's day was yesterday 8 March. Do you think being born a boy or a girl will affect the kind of job you have when you grow up?ing bo?"
Hanover,06/03/2020,"International Women's day is 8 March. Do you think being born a boy or girl will affect the kind of job you have when you grow up?"
"Valence Primary School",06/03/2020,"International Women's day is 8 March. Do you think being born a boy or girl will affect the kind of job you have when you grow up? ?"
"Orminston Herman Academy",06/03/2020,"Should we have children in KS2 come and read to children in KS1 on a regular basis?"
"Sankey Valley St James CE Primary School",06/03/2020,"Should we allow water bottles on desks?"
"British International School Budapest",06/03/2020,"The last environmental project was to reduce plastic and there was an 'eco-fair'. Now we would like to focus on another area of waste. What shall we work on?"
"Manor Field Primary School",05/03/2020,"How should we, as a school, raise money for Children in Need?"
"Granard Primary",05/03/2020,"What specific equipment should we get for the playground?"
"Holgate Meadows",05/03/2020,"What do you want to sort out in school first?"
"Gascoigne Primary School",05/03/2020,"what makes a good lesson?"
"Dame Allans Junior School",05/03/2020,"Which charity should we support with a fruit lolly sale?"
"Shrewsbury Academy",05/03/2020,"What do we need to improve about the toilets?"
"Shrewsbury Academy",05/03/2020,"What do we need to improve about the toilets?"
"Bronte Girls' Acadmey",05/03/2020,"What is the most important British Value?"
"The Mill Primary Academy",04/03/2020,"We are trying to create an awareness about 'religions.' The communication team were interested to find out if you understood what this word 'religion' means. If you do not know what it means, please use this opportunity to have a short discussion with your teacher. Question: What do you think it means when some people follow a religion?"
"Audenshaw School",04/03/2020,"What would you like to do for the summer rewards day?"
"Hinckley Parks Primary",04/03/2020,"Would having a language buddy help new children who may not be able to speak English settle into HPPS?"
"The Hart School",03/03/2020,"The School Council are working closely with the PTFA, who would like the input of students on how to spend money that has been raised from 'Movie Nights' etc. How could this money be spent?"
"Richard Alibon Primary School",03/03/2020,"What event would you like to see the PTA do more of?"
"Hollinwood Academy",03/03/2020,"Do you think it is important to have a water fountain in the sports hall?"
"Cheetham CE Community Academy",03/03/2020,"m nb?"
"Shibden Head Primary Academy",03/03/2020,"Which do you think matters more: talent or hard work? ?"
"Julian's Primary School",02/03/2020,"The PTFA are donating the money they raise at the Easter Egg Hunt to us so we can buy some new playground equipment. What would you like us to spend the money on?"
"St. Michael's Primary School",02/03/2020,"What would you like the new logo to include?"
"Billingborough Primary School",02/03/2020,"What should we do for Sports Relief Day?"
"Example Primary School",02/03/2020,"Do you feel you supported to reach your potential in education?"
"Manford Primary School",01/03/2020,"Do yuo think your voice is listened to in school?"
"Manor Junior School",01/03/2020,"Is it worse to fail at something or never attempt it in the first place?"
"Benjamin Britten School",01/03/2020,"Watch the election video for Waveney and Suffolk North. And make your vote.?"
"Manchester Enterprise Academy",01/03/2020,"Which is more important strong character or knowledge?"
"Harold Wood",01/03/2020,"At Harold Wood we are very proud of our school values and we believe that they make our school a better place. Which of the five values (if any) do you think we need to focus on more as a community? It could be that we don't talk about a certain value enough or that as school we need to demonstrate a certain value more. ?"
"SHSG Student Voice",01/03/2020,"How useful do you find the resources given to you by the school to help you organise your studies (e.g. planners/folders/etc.)?"
"Danecourt school",29/02/2020,"Why is it good to read books?"
"Red Oaks Primary School",28/02/2020,"Which do you think matters more: talent or hard work?"
"Warren Mead Junior School",28/02/2020,"What could we do to promote online safety at school? ?"
"Valence Primary School",28/02/2020,"Which do you think matters more: talent or hard work?  ?"
"British International School Budapest",28/02/2020,"Is reading important?"
Hanover,28/02/2020,"Which do you think matters more: talent or hard work?"
"Stopsley Community Primary School",28/02/2020,"What is your favourite reading genre?"
"Orminston Herman Academy",28/02/2020,"Do you understand the meaning of e-safety?"
"Manor Field Primary School",28/02/2020,"Overall, does technology help us to connect or does it make us feel more alone?"
"St. Francis School",28/02/2020,"We would like to ask for an International Food week. What types of food would you like to see available?"
"Lloyd Williamson School",28/02/2020,"Would you like to have students who check the toilets and other areas to help promote good hygiene?"
Armfield.Academy,28/02/2020,"Should organ donation become compulsory?"
"Stormont House School",28/02/2020,"What equipment would you like at lunchtimes?"
"Cliffe Woods Primary School",27/02/2020,"How can we improve behaviour on the playgrounds?"
"St. Mary's Church of England Academy",27/02/2020,"What area of our school life would you like to improve in our school?"
"Hereford Academy",27/02/2020,"What do you like about the food on offer AT LUNCHTIME?"
"Sandbach High School &amp; Sixth Form College",27/02/2020,"""""THE PARENT AND FRIENDS ASSOCIATION HAVE KINDLY DONATED £5000 FROM THEIR FUNDRAISING TO PURCHASE NEW OUTDOOR SEATING. THE SCHOOL COUNCIL WOULD LIKE TO KNOW WHICH AREA OF THE SCHOOL YOU WOULD LIKE NEW SEATING?"
"Hanley Castle High School",27/02/2020,"What is the most effective way to revise so that you are able to memorise subject content? Mrs Burrows will be doing a series of assemblies later this month to discuss this too.?"
"Denbigh Primary School",27/02/2020,"What indoor activities would you like to have available at Lunch time?"
"Shrewsbury Academy",27/02/2020,"Overall, does technology help to connect us or does it make us feel alone?"
"Goresbrook School",26/02/2020,"dzf adaf ?"
"Orchard Manor School",26/02/2020,"What colour would you like the ropes to be on the Mississippi Trail?"
"Our Voice, Our Mayor",26/02/2020,"What percentage of 16 -17 year olds do you think are registered to vote?"
"Orminston Herman Academy",26/02/2020,"Should we have parents in more? (please give ideas on how)?"
"Isleworth Town",26/02/2020,"What would you like to be planted in the poly-tunnel?"
"Harrow Gate Primary Academy",26/02/2020,"Overall, does technology help to connect us or does it make us feel alone? ?"
"Hollinwood Academy",26/02/2020,"If there were to be a school summer fair held this year, which day would you prefer to attend?"
"The Park School",26/02/2020,"How can we improve our recycling?"
"Burnage Academy for Boys",26/02/2020," How to tackle litter within the school/field?"
"Oxclose Community Academy",26/02/2020,"Coronavirus : The outbreak is spreading in Europe from Italy in particular. Do you think people in the UK should be rightfully worried?"
"Marlborough Primary",26/02/2020,"How should we raise money for RSPCA Australia?"
"Winyates Primary",26/02/2020,"Eco Award - What do we want to focus on towards achieving and flying our own Eco School Flag?"
"Kingswood House School",25/02/2020,"How can we make the school healthier?"
"The Westleigh School",25/02/2020,"What charity should we support?"
"Sutton Valence Preparatory School",25/02/2020,"Overall, does technology help to connect us or does it make us feel alone? ?"
"Little Ealing Primary School",24/02/2020,"What kind of fundraiser would you like the School Council to organise next?"
"Pooles Park",24/02/2020,"Should children be trusted to run extra clubs at lunchtime?"
"Shibden Head Primary Academy",24/02/2020,"Does technology help to connect us or does it make us feel alone? ?"
"Pentland Field School",24/02/2020,"How can we celebrate world book day?"
"Blackheath Prep",24/02/2020,"Should there be a set group of 3 or 4 pupils that get to ring the bell at break-times?"
"Valence Primary School",24/02/2020,"Overall, does technology help to connect us or does it make us feel alone?  ?"
"Littlegreen School",24/02/2020," It was half-term last week. What do you think is the best way to spend the time? ?"
"Danecourt school",24/02/2020,"Why do we celebrate Shrove Tuesday?"
"King's Lynn Academy",24/02/2020,"Overall, does technology help to connect us or does it make us feel alone?"
"Freehold Community Primary Academy",23/02/2020,"Which character best reflects a scientific thinker and learner at Freehold?"
"Manchester Enterprise Academy",22/02/2020,"Do you know who/where to get help from if you are struggling with your mental health?"
"Manor Junior School",21/02/2020,"A healthy relationship contains the ingredients of respect, compromise, support and trust. Which of these ingredients do you consider to be the most important in your relationships?"
"St John's RC Primary School",20/02/2020,"What could we do to improve our school?"
"Heath Mount School",14/02/2020,"Do you enjoy morning snack?"
"Warren Mead Junior School",14/02/2020,"How can we promote a love of reading at Warren Mead? ?"
"St. Francis School",14/02/2020,"Should we have an eco afternoon where we don't use any electricity?"
"The Bulwell Academy",13/02/2020,"What do we need to improve most about The Bulwell Academy?"
"Shrewsbury Academy",13/02/2020,"How often do you feel safe in school?"
"Hinckley Parks Primary",12/02/2020,"How should we spend the £500 that we received?"
"Oak Hill First School",12/02/2020,"How can we raise money for Sports Relief? ?"
"The Mill Primary Academy",12/02/2020,"In the last class meeting, the winning vote was ‘Quite happy’ on the playground. It would be really great if all children had a VERY happy playtime. We are going to try to capture ‘Happy Moments’ in pictures and put it on the school council board. We also think that bringing the skipping ropes back will enable more structured play. Question: Would you enjoy your break times better if the skipping ropes came back?"
"Hollinwood Academy",12/02/2020,"Do we need a water fountain in the sports hall?"
"SHSG Student Voice",12/02/2020,"Legally Blonde is coming! Can you think of ways you can raise money to help pay for production costs (more than £3000!)?"
"Blackheath Prep",12/02/2020,"Should the school create a 2020 Time Capsule?"
"The Hart School",11/02/2020,"Quiz Time! How much is the average price of a 'Central London' house? The tutor group with the highest correct answer % will win a secret prize!?"
"Snodland Primary School",11/02/2020,"What activities would you like to be available at lunch times?"
"Mawney Foundation School",11/02/2020,"Who helps you the most outside of your classroom, at playtime?"
"Hollymount Primary School",11/02/2020,"In school, where do you feel the least safe?"
"Richard Alibon Primary School",11/02/2020,"What would you like to learn about in assembly next term?"
